"","company","tickers","SEC.filings","GICS.Sector","GICS.Sub.Industry","Address","Date.first.added","CIK","Founded"
"347","NLSN","Nielsen Holdings","reports","Industrials","Research & Consulting Services","New York, New York","2013-07-09",1492633,""
"348","NKE","Nike","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Washington County, Oregon","1988-11-30",320187,""
"349","NI","NiSource Inc.","reports","Utilities","Multi-Utilities","Merrillville, Indiana","",1111711,"1912"
"350","NBL","Noble Energy Inc","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","2007-10-08",72207,""
"351","JWN","Nordstrom","reports","Consumer Discretionary","Department Stores","Seattle, Washington","1986-08-31",72333,""
"352","NSC","Norfolk Southern Corp.","reports","Industrials","Railroads","Norfolk, Virginia","",702165,"1881/1894 (1980)"
"353","NTRS","Northern Trust Corp.","reports","Financials","Asset Management & Custody Banks","Chicago, Illinois","",73124,"1889"
"354","NOC","Northrop Grumman","reports","Industrials","Aerospace & Defense","West Falls Church, Virginia","1985-06-30",1133421,""
"355","NCLH","Norwegian Cruise Line Holdings","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","2017-10-13",1513761,""
"356","NRG","NRG Energy","reports","Utilities","Independent Power Producers & Energy Traders","Princeton, New Jersey","2010-01-29",1013871,""
"357","NUE","Nucor Corp.","reports","Materials","Steel","Charlotte, North Carolina","1985-04-30",73309,""
"358","NVDA","Nvidia Corporation","reports","Information Technology","Semiconductors","Santa Clara, California","2001-11-30",1045810,""
"359","ORLY","O'Reilly Automotive","reports","Consumer Discretionary","Specialty Stores","Springfield, Missouri","2009-03-27",898173,""
"360","OXY","Occidental Petroleum","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","1982-12-31",797468,""
"361","OMC","Omnicom Group","reports","Communication Services","Advertising","New York, New York","",29989,"1986"
"362","OKE","ONEOK","reports","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","2010-03-15",1039684,""
"363","ORCL","Oracle Corp.","reports","Information Technology","Application Software","Redwood Shores, California","1989-08-31",1341439,""
"364","PCAR","PACCAR Inc.","reports","Industrials","Construction Machinery & Heavy Trucks","Bellevue, Washington","1980-12-31",75362,""
"365","PKG","Packaging Corporation of America","reports","Materials","Paper Packaging","Lake Forest, Illinois","2017-07-26",75677,""
"366","PH","Parker-Hannifin","reports","Industrials","Industrial Machinery","Cleveland, Ohio","1985-11-30",76334,""
"367","PAYX","Paychex Inc.","reports","Information Technology","Internet Software & Services","Penfield, New York","",723531,"1971"
"368","PYPL","PayPal","reports","Information Technology","Data Processing & Outsourced Services","San Jose, California","2015-07-20",1633917,""
"369","PNR","Pentair plc","reports","Industrials","Industrial Machinery","Worsley, UK","2012-10-01",77360,""
"370","PBCT","People's United Financial","reports","Financials","Thrifts & Mortgage Finance","Bridgeport, Connecticut","2008-11-13",1378946,""
"371","PEP","PepsiCo Inc.","reports","Consumer Staples","Soft Drinks","Purchase, New York","",77476,"1898"
"372","PKI","PerkinElmer","reports","Health Care","Health Care Equipment","Waltham, Massachusetts","1985-05-31",31791,""
"373","PRGO","Perrigo","reports","Health Care","Pharmaceuticals","Dublin, Ireland","2011-12-19",1585364,""
"374","PFE","Pfizer Inc.","reports","Health Care","Pharmaceuticals","New York, New York","",78003,"1849"
"375","PM","Philip Morris International","reports","Consumer Staples","Tobacco","New York, New York","2008-03-31",1413329,""
"376","PSX","Phillips 66","reports","Energy","Oil & Gas Refining & Marketing","Houston, Texas","2012-05-01",1534701,""
"377","PNW","Pinnacle West Capital","reports","Utilities","Multi-Utilities","Phoenix, Arizona","",764622,"1985"
"378","PXD","Pioneer Natural Resources","reports","Energy","Oil & Gas Exploration & Production","Irving, Texas","2008-09-24",1038357,""
"379","PNC","PNC Financial Services","reports","Financials","Regional Banks","Pittsburgh, Pennsylvania","1988-04-30",713676,""
"380","PPG","PPG Industries","reports","Materials","Specialty Chemicals","Pittsburgh, Pennsylvania","",79879,"1883"
"381","PPL","PPL Corp.","reports","Utilities","Electric Utilities","Allentown, Pennsylvania","",922224,""
"382","PFG","Principal Financial Group","reports","Financials","Life & Health Insurance","Des Moines, Iowa","2002-07-22",1126328,""
"383","PG","Procter & Gamble","reports","Consumer Staples","Personal Products","Cincinnati, Ohio","",80424,"1837"
"384","PGR","Progressive Corp.","reports","Financials","Property & Casualty Insurance","Mayfield Village, Ohio","1997-08-04",80661,""
"385","PLD","Prologis","reports","Real Estate","Industrial REITs","San Francisco, California","2003-07-17",1045609,""
"386","PRU","Prudential Financial","reports","Financials","Life & Health Insurance","Newark, New Jersey","2002-07-22",1137774,""
"387","PEG","Public Serv. Enterprise Inc.","reports","Utilities","Electric Utilities","Newark, New Jersey","",788784,""
"388","PSA","Public Storage","reports","Real Estate","Specialized REITs","Glendale, California","2005-08-19",1393311,""
"389","PHM","Pulte Homes Inc.","reports","Consumer Discretionary","Homebuilding","Atlanta, Georgia","1984-04-30",822416,""
"390","PVH","PVH Corp.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","2013-02-15",78239,""
"391","QRVO","Qorvo","reports","Information Technology","Semiconductors","Greensboro, North Carolina","2015-06-11",1604778,""
"392","PWR","Quanta Services Inc.","reports","Industrials","Construction & Engineering","Houston, Texas","2009-07-01",1050915,""
"393","QCOM","QUALCOMM Inc.","reports","Information Technology","Semiconductors","San Diego, California","",804328,"1985"
"394","DGX","Quest Diagnostics","reports","Health Care","Health Care Services","Madison, New Jersey","2002-12-12",1022079,""
"395","RL","Ralph Lauren Corporation","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","2007-02-02",1037038,""
"396","RJF","Raymond James Financial Inc.","reports","Financials","Investment Banking & Brokerage","St. Petersburg, Florida","2017-03-20",720005,""
"397","RTN","Raytheon Co.","reports","Industrials","Aerospace & Defense","Waltham, Massachusetts","",1047122,"1922"
"398","O","Realty Income Corporation","reports","Real Estate","Retail REITs","San Diego, California","2015-04-07",726728,""
"399","REG","Regency Centers Corporation","reports","Real Estate","Retail REITs","Jacksonville, Florida","2017-03-02",910606,""
"400","REGN","Regeneron Pharmaceuticals","reports","Health Care","Biotechnology","Tarrytown, New York","2013-05-01",872589,""
"401","RF","Regions Financial Corp.","reports","Financials","Regional Banks","Birmingham, Alabama","1998-08-28",1281761,""
"402","RSG","Republic Services Inc","reports","Industrials","Environmental & Facilities Services","Phoenix, Arizona","2008-12-05",1060391,""
"403","RMD","ResMed","reports","Health Care","Health Care Equipment","San Diego, California","2017-07-26",943819,""
"404","RHI","Robert Half International","reports","Industrials","Human Resource & Employment Services","Menlo Park, California","2000-12-05",315213,""
"405","ROK","Rockwell Automation Inc.","reports","Industrials","Electrical Components & Equipment","Milwaukee, Wisconsin","",1024478,""
"406","ROL","Rollins Inc.","reports","Industrials","Environmental & Facilities Services","Atlanta, Georgia","2018-10-01",84839,""
"407","ROP","Roper Technologies","reports","Industrials","Industrial Conglomerates","Sarasota, Florida","2009-12-23",882835,""
"408","ROST","Ross Stores","reports","Consumer Discretionary","Apparel Retail","Pleasanton, California","2009-12-21",745732,""
"409","RCL","Royal Caribbean Cruises Ltd","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","2014-12-05",884887,""
"410","CRM","Salesforce.com","reports","Information Technology","Internet Software & Services","San Francisco, California","2008-09-15",1108524,""
"411","SBAC","SBA Communications","reports","Real Estate","Specialized REITs","Boca Raton, Florida","2017-09-01",1034054,""
"412","SLB","Schlumberger Ltd.","reports","Energy","Oil & Gas Equipment & Services","Curaçao, Kingdom of the Netherlands","1965-03-31",87347,"1926"
"413","STX","Seagate Technology","reports","Information Technology","Technology Hardware, Storage & Peripherals","Dublin, Ireland","2012-07-02",1137789,""
"414","SEE","Sealed Air","reports","Materials","Paper Packaging","Elmwood Park, New Jersey","",1012100,""
"415","SRE","Sempra Energy","reports","Utilities","Multi-Utilities","San Diego, California","",1032208,""
"416","SHW","Sherwin-Williams","reports","Materials","Specialty Chemicals","Cleveland, Ohio","1964-06-30",89800,"1866"
"417","SPG","Simon Property Group Inc","reports","Real Estate","Retail REITs","Indianapolis, Indiana","2002-06-26",1063761,""
"418","SWKS","Skyworks Solutions","reports","Information Technology","Semiconductors","Woburn, Massachusetts","2015-03-12",4127,""
"419","SLG","SL Green Realty","reports","Real Estate","Office REITs","New York, New York","2015-03-20",1040971,""
"420","SNA","Snap-on","reports","Industrials","Industrial Machinery","Kenosha, Wisconsin","1982-09-30",91440,"1920"
"421","SO","Southern Co.","reports","Utilities","Electric Utilities","Atlanta, Georgia","",92122,""
"422","LUV","Southwest Airlines","reports","Industrials","Airlines","Dallas, Texas","1994-07-01",92380,""
"423","SPGI","S&P Global, Inc.","reports","Financials","Financial Exchanges & Data","New York, New York","",64040,""
"424","SWK","Stanley Black & Decker","reports","Industrials","Industrial Machinery","New Britain, Connecticut","1982-09-30",93556,""
"425","SBUX","Starbucks Corp.","reports","Consumer Discretionary","Restaurants","Seattle, Washington","",829224,"1971"
"426","STT","State Street Corp.","reports","Financials","Asset Management & Custody Banks","Boston, Massachusetts","",93751,""
"427","SYK","Stryker Corp.","reports","Health Care","Health Care Equipment","Kalamazoo, Michigan","2000-12-12",310764,""
"428","STI","SunTrust Banks","reports","Financials","Regional Banks","Atlanta, Georgia","1988-05-31",750556,""
"429","SIVB","SVB Financial","reports","Financials","Regional Banks","Santa Clara, California","2018-03-19",719739,""
"430","SYMC","Symantec Corp.","reports","Information Technology","Application Software","Mountain View, California","2003-03-25",849399,""
"431","SYF","Synchrony Financial","reports","Financials","Consumer Finance","Stamford, Connecticut","2015-11-18",1601712,""
"432","SNPS","Synopsys Inc.","reports","Information Technology","Application Software","Mountain View, California","2017-03-16",883241,""
"433","SYY","Sysco Corp.","reports","Consumer Staples","Food Distributors","Houston, Texas","1986-12-31",96021,""
"434","TMUS","T-Mobile US","reports","Communication Services","Wireless Telecommunication Services","Bellevue, Washington","2019-07-15",1283699,""
"435","TROW","T. Rowe Price Group","reports","Financials","Asset Management & Custody Banks","Baltimore, Maryland","",1113169,"1937"
"436","TTWO","Take-Two Interactive","reports","Communication Services","Interactive Home Entertainment","New York, New York","2018-03-19",946581,""
"437","TPR","Tapestry, Inc.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","",1116132,"2017"
"438","TGT","Target Corp.","reports","Consumer Discretionary","General Merchandise Stores","Minneapolis, Minnesota","1976-12-31",27419,""
"439","TEL","TE Connectivity Ltd.","reports","Information Technology","Electronic Manufacturing Services","Schaffhausen, Switzerland","2011-10-17",1385157,""
"440","FTI","TechnipFMC","reports","Energy","Oil & Gas Equipment & Services","London, United Kingdom","2009-06-05",1681459,""
"441","TFX","Teleflex","reports","Health Care","Health Care Equipment","Wayne, Pennsylvania","2019-01-18",96943,"1943"
"442","TXN","Texas Instruments","reports","Information Technology","Semiconductors","Dallas, Texas","",97476,"1930"
"443","TXT","Textron Inc.","reports","Industrials","Aerospace & Defense","Providence, Rhode Island","1978-12-31",217346,""
"444","TMO","Thermo Fisher Scientific","reports","Health Care","Health Care Equipment","Waltham, Massachusetts","",97745,"2006"
"445","TIF","Tiffany & Co.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York, New York","2000-06-21",98246,""
"446","TWTR","Twitter, Inc.","reports","Communication Services","Interactive Media & Services","San Francisco, California","2018-06-07",1418091,""
"447","TJX","TJX Companies Inc.","reports","Consumer Discretionary","Apparel Retail","Framingham, Massachusetts","1985-09-30",109198,""
"448","TMK","Torchmark Corp.","reports","Financials","Life & Health Insurance","McKinney, Texas","1989-04-30",320335,""
"449","TSS","Total System Services","reports","Information Technology","Internet Software & Services","Columbus, Georgia","2008-01-02",721683,""
"450","TSCO","Tractor Supply Company","reports","Consumer Discretionary","Specialty Stores","Brentwood, Tennessee","2014-01-24",916365,""
"451","TDG","TransDigm Group","reports","Industrials","Aerospace & Defense","Cleveland, Ohio","2016-06-03",1260221,""
"452","TRV","The Travelers Companies Inc.","reports","Financials","Property & Casualty Insurance","New York, New York","2002-08-21",86312,""
"453","TRIP","TripAdvisor","reports","Communication Services","Interactive Media & Services","Newton, Massachusetts","2011-12-21",1526520,""
"454","TSN","Tyson Foods","reports","Consumer Staples","Packaged Foods & Meats","Springdale, Arkansas","",100493,""
"455","UDR","UDR, Inc.","reports","Real Estate","Residential REITs","Highlands Ranch, Colorado","2016-03-07",74208,""
"456","ULTA","Ulta Beauty","reports","Consumer Discretionary","Specialty Stores","Bolingbrook, Illinois","2016-04-18",1403568,""
"457","USB","U.S. Bancorp","reports","Financials","Diversified Banks","Minneapolis, Minnesota","",36104,"1968"
"458","UAA","Under Armour Class A","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Baltimore, Maryland","2016-03-25",1336917,""
"459","UA","Under Armour Class C","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Baltimore, Maryland","2014-05-01",1336917,""
"460","UNP","Union Pacific Corp","reports","Industrials","Railroads","Omaha, Nebraska","",100885,""
"461","UAL","United Airlines Holdings","reports","Industrials","Airlines","Chicago, Illinois","2015-09-03",100517,""
"462","UNH","United Health Group Inc.","reports","Health Care","Managed Health Care","Minnetonka, Minnesota","1994-07-01",731766,""
"463","UPS","United Parcel Service","reports","Industrials","Air Freight & Logistics","Atlanta, Georgia","2002-07-22",1090727,""
"464","URI","United Rentals, Inc.","reports","Industrials","Trading Companies & Distributors","Stamford, Connecticut","2014-09-20",1067701,""
"465","UTX","United Technologies","reports","Industrials","Aerospace & Defense","Hartford, Connecticut","",101829,""
"466","UHS","Universal Health Services, Inc.","reports","Health Care","Health Care Facilities","King of Prussia, Pennsylvania","2014-09-20",352915,""
"467","UNM","Unum Group","reports","Financials","Life & Health Insurance","Chattanooga, Tennessee","1994-03-01",5513,""
"468","VFC","V.F. Corp.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Greensboro, North Carolina","1979-06-30",103379,""
"469","VLO","Valero Energy","reports","Energy","Oil & Gas Refining & Marketing","San Antonio, Texas","",1035002,"1980"
"470","VAR","Varian Medical Systems","reports","Health Care","Health Care Equipment","Palo Alto, California","2007-02-12",203527,""
"471","VTR","Ventas Inc","reports","Real Estate","Health Care REITs","Chicago, Illinois","2009-03-04",740260,""
"472","VRSN","Verisign Inc.","reports","Information Technology","Internet Services & Infrastructure","Dulles, Virginia","2006-02-01",1014473,""
"473","VRSK","Verisk Analytics","reports","Industrials","Research & Consulting Services","Jersey City, New Jersey","2015-10-08",1442145,""
"474","VZ","Verizon Communications","reports","Communication Services","Integrated Telecommunication Services","New York, New York","1983-11-30",732712,""
"475","VRTX","Vertex Pharmaceuticals Inc","reports","Health Care","Biotechnology","Cambridge, Massachusetts","2013-09-23",875320,""
"476","VIAB","Viacom Inc.","reports","Communication Services","Movies & Entertainment","New York, New York","",1339947,""
"477","V","Visa Inc.","reports","Information Technology","IT Services","San Francisco, California","2009-12-21",1403161,""
"478","VNO","Vornado Realty Trust","reports","Real Estate","Office REITs","New York, New York","",899689,""
"479","VMC","Vulcan Materials","reports","Materials","Construction Materials","Birmingham, Alabama","1999-06-30",1396009,""
"480","WAB","Wabtec Corporation","reports","Industrials","Construction Machinery & Heavy Trucks","Wilmerding, Pennsylvania","2019-02-27",943452,""
"481","WMT","Walmart","reports","Consumer Staples","Hypermarkets & Super Centers","Bentonville, Arkansas","1982-08-31",104169,""
"482","WBA","Walgreens Boots Alliance","reports","Consumer Staples","Drug Retail","Deerfield, Illinois","1979-12-31",1618921,""
"483","DIS","The Walt Disney Company","reports","Communication Services","Movies & Entertainment","Burbank, California","1976-06-30",1001039,""
"484","WM","Waste Management Inc.","reports","Industrials","Environmental & Facilities Services","Houston, Texas","",823768,"1968"
"485","WAT","Waters Corporation","reports","Health Care","Health Care Distributors","Milford, Massachusetts","",1000697,"1958"
"486","WEC","Wec Energy Group Inc","reports","Utilities","Electric Utilities","Milwaukee, Wisconsin","2008-10-31",783325,""
"487","WCG","WellCare","reports","Health Care","Managed Health Care","Tampa, Florida","1985",1279363,""
"488","WFC","Wells Fargo","reports","Financials","Diversified Banks","San Francisco, California","1976-06-30",72971,""
"489","WELL","Welltower Inc.","reports","Real Estate","Health Care REITs","Toledo, Ohio","2009-01-30",766704,""
"490","WDC","Western Digital","reports","Information Technology","Technology Hardware, Storage & Peripherals","Irvine, California","2009-07-01",106040,""
"491","WU","Western Union Co","reports","Information Technology","Internet Software & Services","Englewood, Colorado","",1365135,"1851"
"492","WRK","WestRock","reports","Materials","Paper Packaging","Richmond, Virginia","",1636023,""
"493","WY","Weyerhaeuser","reports","Real Estate","Specialized REITS","Federal Way, Washington","",106535,""
"494","WHR","Whirlpool Corp.","reports","Consumer Discretionary","Household Appliances","Benton Harbor, Michigan","",106640,"1911"
"495","WMB","Williams Cos.","reports","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","1975-03-31",107263,""
"496","WLTW","Willis Towers Watson","reports","Financials","Insurance Brokers","London, United Kingdom","2016-01-05",1140536,""
"497","WYNN","Wynn Resorts Ltd","reports","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","2008-11-14",1174922,""
"498","XEL","Xcel Energy Inc","reports","Utilities","Multi-Utilities","Minneapolis, Minnesota","",72903,"1909"
"499","XRX","Xerox","reports","Information Technology","Technology Hardware, Storage & Peripherals","Norwalk, Connecticut","",108772,"1906"
"500","XLNX","Xilinx","reports","Information Technology","Semiconductors","San Jose, California","1999-11-08",743988,""
"501","XYL","Xylem Inc.","reports","Industrials","Industrial Machinery","White Plains, New York","2011-11-01",1524472,""
"502","YUM","Yum! Brands Inc","reports","Consumer Discretionary","Restaurants","Louisville, Kentucky","1997-10-06",1041061,""
"503","ZBH","Zimmer Biomet Holdings","reports","Health Care","Health Care Equipment","Warsaw, Indiana","2001-08-07",1136869,""
"504","ZION","Zions Bancorp","reports","Financials","Regional Banks","Salt Lake City, Utah","2001-06-22",109380,""
"505","ZTS","Zoetis","reports","Health Care","Pharmaceuticals","Florham Park, New Jersey","2013-06-21",1555280,""
