"","company","tickers","SEC.filings","GICS.Sector","GICS.Sub.Industry","Address","Date.first.added","CIK","Founded"
"166","DD","DuPont de Nemours Inc","reports","Materials","Specialty Chemicals","Midland, Michigan","",1666700,"2017"
"167","DXC","DXC Technology","reports","Information Technology","IT Consulting & Other Services","Tysons Corner, Virginia","2017-04-04",1688568,""
"168","ETFC","E*Trade","reports","Financials","Investment Banking & Brokerage","New York, New York","2004-03-31",1015780,""
"169","EMN","Eastman Chemical","reports","Materials","Diversified Chemicals","Kingsport, Tennessee","1994-01-01",915389,""
"170","ETN","Eaton Corporation","reports","Industrials","Electrical Components & Equipment","Dublin, Ireland","",1551182,"1911"
"171","EBAY","eBay Inc.","reports","Consumer Discretionary","Internet & Direct Marketing Retail","San Jose, California","",1065088,"1995"
"172","ECL","Ecolab Inc.","reports","Materials","Specialty Chemicals","St. Paul, Minnesota","1989-01-31",31462,""
"173","EIX","Edison Int'l","reports","Utilities","Electric Utilities","Rosemead, California","",827052,"1886"
"174","EW","Edwards Lifesciences","reports","Health Care","Health Care Equipment","Irvine, California","2011-04-01",1099800,""
"175","EA","Electronic Arts","reports","Communication Services","Interactive Home Entertainment","Redwood City, California","2002-07-22",712515,""
"176","EMR","Emerson Electric Company","reports","Industrials","Electrical Components & Equipment","Ferguson, Missouri","1965-03-31",32604,"1890"
"177","ETR","Entergy Corp.","reports","Utilities","Electric Utilities","New Orleans, Louisiana","",65984,"1913"
"178","EOG","EOG Resources","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","2000-11-02",821189,""
"179","EFX","Equifax Inc.","reports","Industrials","Research & Consulting Services","Atlanta, Georgia","1997-06-19",33185,""
"180","EQIX","Equinix","reports","Real Estate","Specialized REITs","Redwood City, California","2015-03-20",1101239,""
"181","EQR","Equity Residential","reports","Real Estate","Residential REITs","Chicago, Illinois","2001-12-03",906107,""
"182","ESS","Essex Property Trust, Inc.","reports","Real Estate","Residential REITs","Palo Alto, California","2014-04-02",920522,""
"183","EL","Estee Lauder Cos.","reports","Consumer Staples","Personal Products","New York, New York","2006-01-05",1001250,""
"184","EVRG","Evergy","reports","Utilities","Electric Utilities","Kansas City, Missouri","2018-06-05",1711269,"1909"
"185","ES","Eversource Energy","reports","Utilities","Multi-Utilities","Springfield, Massachusetts","",72741,"1966"
"186","RE","Everest Re Group Ltd.","reports","Financials","Reinsurance","Hamilton, Bermuda","2017-06-19",1095073,""
"187","EXC","Exelon Corp.","reports","Utilities","Multi-Utilities","Chicago, Illinois","",1109357,"2000"
"188","EXPE","Expedia Group","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Bellevue, Washington","2007-10-02",1324424,""
"189","EXPD","Expeditors","reports","Industrials","Air Freight & Logistics","Seattle, Washington","2007-10-10",746515,""
"190","EXR","Extra Space Storage","reports","Real Estate","Specialized REITs","Salt Lake City, Utah","2016-01-19",1289490,""
"191","XOM","Exxon Mobil Corp.","reports","Energy","Integrated Oil & Gas","Irving, Texas","",34088,"1999"
"192","FFIV","F5 Networks","reports","Information Technology","Communications Equipment","Seattle, Washington","2010-12-20",1048695,"1996"
"193","FB","Facebook, Inc.","reports","Communication Services","Interactive Media & Services","Menlo Park, California","2013-12-23",1326801,""
"194","FAST","Fastenal Co","reports","Industrials","Building Products","Winona, Minnesota","2009-09-15",815556,""
"195","FRT","Federal Realty Investment Trust","reports","Real Estate","Retail REITs","Rockville, Maryland","2016-02-01",34903,""
"196","FDX","FedEx Corporation","reports","Industrials","Air Freight & Logistics","Memphis, Tennessee","1980-12-31",1048911,""
"197","FIS","Fidelity National Information Services","reports","Information Technology","Internet Software & Services","Jacksonville, Florida","2006-11-10",1136893,""
"198","FITB","Fifth Third Bancorp","reports","Financials","Regional Banks","Cincinnati, Ohio","",35527,"1858"
"199","FE","FirstEnergy Corp","reports","Utilities","Electric Utilities","Akron, Ohio","",1031296,"1997"
"200","FRC","First Republic Bank","reports","Financials","Regional Banks","San Francisco, California","2019-01-02",1132979,"1985"
"201","FISV","Fiserv Inc","reports","Information Technology","Internet Software & Services","Brookfield, Wisconsin","2001-04-02",798354,""
"202","FLT","FleetCor Technologies Inc","reports","Information Technology","Data Processing & Outsources Services","Norcross, Georgia","2018-06-20",1175454,"2000"
"203","FLIR","FLIR Systems","reports","Information Technology","Electronic Equipment & Instruments","Wilsonville, Oregon","2009-01-02",354908,""
"204","FLS","Flowserve Corporation","reports","Industrials","Industrial Machinery","Irving, Texas","2008-10-02",30625,""
"205","FMC","FMC Corporation","reports","Materials","Fertilizers & Agricultural Chemicals","Philadelphia, Pennsylvania","2009-08-19",37785,""
"206","FL","Foot Locker Inc","reports","Consumer Discretionary","Apparel Retail","New York, New York","2016-04-04",850209,""
"207","F","Ford Motor","reports","Consumer Discretionary","Automobile Manufacturers","Dearborn, Michigan","",37996,"1903"
"208","FTNT","Fortinet","reports","Information Technology","Systems Software","Sunnyvale, California","2018-10-11",1262039,"2000"
"209","FTV","Fortive Corp","reports","Industrials","Industrial Machinery","Everett, Washington","2016-07-01",1659166,""
"210","FBHS","Fortune Brands Home & Security","reports","Industrials","Building Products","Deerfield, Illinois","2016-06-22",1519751,""
"211","FOXA","Fox Corporation Class A","reports","Communication Services","Movies & Entertainment","New York, New York","2013-07-01",1308161,""
"212","FOX","Fox Corporation Class B","reports","Communication Services","Movies & Entertainment","New York, New York","2015-09-18",1308161,""
"213","BEN","Franklin Resources","reports","Financials","Asset Management & Custody Banks","San Mateo, California","",38777,"1947"
"214","FCX","Freeport-McMoRan Inc.","reports","Materials","Copper","Phoenix, Arizona","",831259,"1912"
"215","GPS","Gap Inc.","reports","Consumer Discretionary","Apparel Retail","San Francisco, California","1986-08-31",39911,""
"216","GRMN","Garmin Ltd.","reports","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","2012-12-12",1121788,""
"217","IT","Gartner Inc","reports","Information Technology","IT Consulting & Other Services","Stamford, Connecticut","2017-04-05",749251,""
"218","GD","General Dynamics","reports","Industrials","Aerospace & Defense","Falls Church, Virginia","",40533,"1899"
"219","GE","General Electric","reports","Industrials","Industrial Conglomerates","Boston, Massachusetts","",40545,"1892"
"220","GIS","General Mills","reports","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","1969-03-31",40704,"1856"
"221","GM","General Motors","reports","Consumer Discretionary","Automobile Manufacturers","Detroit, Michigan","2013-06-06",1467858,""
"222","GPC","Genuine Parts","reports","Consumer Discretionary","Specialty Stores","Atlanta, Georgia","1973-12-31",40987,"1925"
"223","GILD","Gilead Sciences","reports","Health Care","Biotechnology","Foster City, California","2004-07-01",882095,""
"224","GPN","Global Payments Inc.","reports","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","2016-04-25",1123360,""
"225","GS","Goldman Sachs Group","reports","Financials","Investment Banking & Brokerage","New York, New York","2002-07-22",886982,""
"226","GWW","Grainger (W.W.) Inc.","reports","Industrials","Industrial Machinery","Lake Forest, Illinois","1981-06-30",277135,""
"227","HAL","Halliburton Co.","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","",45012,"1919"
"228","HBI","Hanesbrands Inc","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina","2015-03-20",1359841,""
"229","HOG","Harley-Davidson","reports","Consumer Discretionary","Motorcycle Manufacturers","Milwaukee, Wisconsin","",793952,"1903"
"230","HIG","Hartford Financial Svc.Gp.","reports","Financials","Property & Casualty Insurance","Hartford, Connecticut","",874766,""
"231","HAS","Hasbro Inc.","reports","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","1984-09-30",46080,""
"232","HCA","HCA Healthcare","reports","Health Care","Health Care Facilities","Nashville, Tennessee","2015-01-27",860730,""
"233","HCP","HCP Inc.","reports","Real Estate","Health Care REITs","Long Beach, California","2008-03-31",765880,""
"234","HP","Helmerich & Payne","reports","Energy","Oil & Gas Drilling","Tulsa, Oklahoma[5]","2010-03-01",46765,""
"235","HSIC","Henry Schein","reports","Health Care","Health Care Distributors","Melville, New York","2015-03-17",1000228,""
"236","HSY","The Hershey Company","reports","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania","",47111,"1894"
"237","HES","Hess Corporation","reports","Energy","Integrated Oil & Gas","New York, New York","1984-05-31",4447,""
"238","HPE","Hewlett Packard Enterprise","reports","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","2015-11-02",1645590,""
"239","HLT","Hilton Worldwide Holdings Inc","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia","2017-06-19",1585689,""
"240","HFC","HollyFrontier Corp","reports","Energy","Oil & Gas Refining & Marketing","Dallas, Texas","2018-06-18",48039,""
"241","HOLX","Hologic","reports","Health Care","Health Care Equipment","Marlborough, Massachusetts","2016-03-30",859737,""
"242","HD","Home Depot","reports","Consumer Discretionary","Home Improvement Retail","Atlanta, Georgia","1988-03-31",354950,""
"243","HON","Honeywell Int'l Inc.","reports","Industrials","Industrial Conglomerates","Morristown, New Jersey","1964-03-31",773840,"1906"
"244","HRL","Hormel Foods Corp.","reports","Consumer Staples","Packaged Foods & Meats","Austin, Minnesota","2009-03-04",48465,""
"245","HST","Host Hotels & Resorts","reports","Real Estate","Hotel & Resort REITs","Bethesda, Maryland","2007-03-20",1070750,""
"246","HPQ","HP Inc.","reports","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","1974-12-31",47217,"1939 (2015)"
"247","HUM","Humana Inc.","reports","Health Care","Managed Health Care","Louisville, Kentucky","",49071,"1961"
"248","HBAN","Huntington Bancshares","reports","Financials","Regional Banks","Columbus, Ohio","",49196,"1866"
"249","HII","Huntington Ingalls Industries","reports","Industrials","Aerospace & Defense","Newport News, Virginia","2018-01-03",1501585,""
"250","IDXX","IDEXX Laboratories","reports","Health Care","Health Care Equipment","Westbrook, Maine","2017-01-05",874716,""
"251","INFO","IHS Markit Ltd.","reports","Industrials","Research & Consulting Services","London, United Kingdom","2017-06-02",1598014,""
"252","ITW","Illinois Tool Works","reports","Industrials","Industrial Machinery","Glenview, Illinois","1986-02-28",49826,""
"253","ILMN","Illumina Inc","reports","Health Care","Life Sciences Tools & Services","San Diego, California","2015-11-19",1110803,""
"254","IR","Ingersoll-Rand PLC","reports","Industrials","Industrial Machinery","Dublin, Ireland","2010-11-17",1466258,""
"255","INTC","Intel Corp.","reports","Information Technology","Semiconductors","Santa Clara, California","1976-12-31",50863,""
"256","ICE","Intercontinental Exchange","reports","Financials","Financial Exchanges & Data","Atlanta, Georgia","2007-09-26",1571949,""
"257","IBM","International Business Machines","reports","Information Technology","IT Consulting & Other Services","Armonk, New York","",51143,"1911"
"258","INCY","Incyte","reports","Health Care","Biotechnology","Wilmington, Delaware","2017-02-28",879169,""
"259","IP","International Paper","reports","Materials","Paper Packaging","Memphis, Tennessee","",51434,"1898"
"260","IPG","Interpublic Group","reports","Communication Services","Advertising","New York, New York","1992-10-01",51644,""
"261","IFF","Intl Flavors & Fragrances","reports","Materials","Specialty Chemicals","New York, New York","1976-03-31",51253,""
"262","INTU","Intuit Inc.","reports","Information Technology","Internet Software & Services","Mountain View, California","2000-12-05",896878,""
"263","ISRG","Intuitive Surgical Inc.","reports","Health Care","Health Care Equipment","Sunnyvale, California","2008-06-02",1035267,""
"264","IVZ","Invesco Ltd.","reports","Financials","Asset Management & Custody Banks","Atlanta, Georgia","2008-08-21",914208,""
"265","IPGP","IPG Photonics Corp.","reports","Information Technology","Electronic Manufacturing Services","Oxford, Massachusetts","2018-03-07",1111928,""
"266","IQV","IQVIA Holdings Inc.","reports","Health Care","Life Sciences Tools & Services","Durham, North Carolina","2017-08-29",1478242,""
"267","IRM","Iron Mountain Incorporated","reports","Real Estate","Specialized REITs","Boston, Massachusetts","2009-01-06",1020569,""
"268","JKHY","Jack Henry & Associates","reports","Information Technology","Data Processing & Outsourced Services","Monett, Missouri","2018-11-13",779152,""
"269","JEC","Jacobs Engineering Group","reports","Industrials","Construction & Engineering","Pasadena, California","2007-10-26",52988,""
"270","JBHT","J. B. Hunt Transport Services","reports","Industrials","Trucking","Lowell, Arkansas","2015-07-01",728535,""
"271","JEF","Jefferies Financial Group","reports","Financials","Multi-Sector Holdings","New York, New York","2007-08-27",96223,""
"272","SJM","JM Smucker","reports","Consumer Staples","Packaged Foods & Meats","Orrville, Ohio","2008-11-06",91419,""
"273","JNJ","Johnson & Johnson","reports","Health Care","Pharmaceuticals","New Brunswick, New Jersey","1973-06-30",200406,"1886"
"274","JCI","Johnson Controls International","reports","Industrials","Building Products","Cork, Ireland","2010-08-27",833444,""
"275","JPM","JPMorgan Chase & Co.","reports","Financials","Diversified Banks","New York, New York","1975-06-30",19617,""
"276","JNPR","Juniper Networks","reports","Information Technology","Communications Equipment","Sunnyvale, California","",1043604,"1996"
"277","KSU","Kansas City Southern","reports","Industrials","Railroads","Kansas City, Missouri","2013-05-24",54480,""
"278","K","Kellogg Co.","reports","Consumer Staples","Packaged Foods & Meats","Battle Creek, Michigan","",55067,"1906"
"279","KEY","KeyCorp","reports","Financials","Regional Banks","Cleveland, Ohio","1994-03-01",91576,""
"280","KEYS","Keysight Technologies","reports","Information Technology","Electronic Equipment & Instruments","Santa Rosa, California","2018-11-06",1601046,"2014"
"281","KMB","Kimberly-Clark","reports","Consumer Staples","Household Products","Irving, Texas","",55785,"1872"
"282","KIM","Kimco Realty","reports","Real Estate","Retail REITs","New Hyde Park, New York","2006-04-04",879101,""
"283","KMI","Kinder Morgan","reports","Energy","Oil & Gas Storage & Transportation","Houston, Texas","2012-05-25",1506307,""
"284","KLAC","KLA Corporation","reports","Information Technology","Semiconductor Equipment","Milpitas, California","",319201,"1975/1977 (1997)"
"285","KSS","Kohl's Corp.","reports","Consumer Discretionary","General Merchandise Stores","Menomonee Falls, Wisconsin","",885639,"1962"
"286","KHC","Kraft Heinz Co","reports","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois; Pittsburgh, Pennsylvania","2015-07-06",1637459,""
"287","KR","Kroger Co.","reports","Consumer Staples","Food Retail","Cincinnati, Ohio","",56873,"1883"
"288","LB","L Brands Inc.","reports","Consumer Discretionary","Apparel Retail","Columbus, Ohio","1983-09-30",701985,""
"289","LHX","L3Harris Technologies","reports","Industrials","Aerospace & Defense","Melbourne, Florida","",202058,""
"290","LH","Laboratory Corp. of America Holding","reports","Health Care","Health Care Services","Burlington, North Carolina","2004-11-01",920148,""
"291","LRCX","Lam Research","reports","Information Technology","Semiconductor Equipment","Fremont, California","2012-06-29",707549,""
"292","LW","Lamb Weston Holdings Inc","reports","Consumer Staples","Packaged Foods & Meats","Eagle, Idaho","2018-12-03",1679273,""
"293","LEG","Leggett & Platt","reports","Consumer Discretionary","Home Furnishings","Carthage, Missouri","",58492,"1883"
